OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662353700000,19871.14,19903.31,19866.44,19886.99,827.63059,1662353999999,55.27,-0.55,-0.20,-0.35,64.08,44.03
1662354000000,19886.99,19888.78,19871.23,19875.37,564.99059,1662354299999,51.44,-0.07,-0.18,0.10,68.80,58.99
1662354300000,19876.25,19877.17,19761.0,19770.58,1749.49289,1662354599999,30.75,-8.06,-1.75,-6.31,46.41,59.76
1662354600000,19770.58,19810.0,19757.41,19802.93,1213.23786,1662354899999,38.92,-11.64,-3.73,-7.91,31.69,48.97
1662354900000,19802.29,19804.16,19774.38,19794.08,1140.80786,1662355199999,37.61,-15.02,-5.99,-9.03,21.02,33.04
1662355200000,19794.08,19795.76,19708.0,19737.52,1894.55746,1662355499999,30.55,-22.01,-9.19,-12.82,24.22,25.64
1662355500000,19738.76,19738.82,19704.18,19725.71,1208.35105,1662355799999,29.31,-28.18,-12.99,-15.19,17.97,21.07
1662355800000,19725.71,19741.4,19696.42,19701.88,1524.12049,1662356099999,26.94,-34.59,-17.31,-17.28,11.19,17.79
1662356100000,19701.88,19724.59,19681.22,19704.37,1189.94501,1662356399999,27.60,-39.02,-21.65,-17.37,12.03,13.73
1662356400000,19703.65,19722.99,19698.03,19708.02,808.22309,1662356699999,28.61,-41.75,-25.67,-16.08,15.68,12.97
1662356700000,19708.02,19716.3,19688.38,19708.88,776.87332,1662356999999,28.87,-43.35,-29.21,-14.14,29.40,19.03
1662357000000,19710.78,19737.59,19707.54,19733.29,834.98474,1662357299999,35.83,-42.16,-31.80,-10.36,51.96,32.35
1662357300000,19733.29,19734.38,19711.7,19726.04,480.58285,1662357599999,34.74,-41.33,-33.70,-7.63,70.67,50.67
1662357600000,19726.04,19742.79,19703.98,19741.25,772.65694,1662357899999,38.93,-38.99,-34.76,-4.23,87.73,70.12
1662357900000,19741.25,19759.1,19738.22,19748.13,1062.89351,1662358199999,40.79,-36.17,-35.04,-1.12,87.06,81.82
1662358200000,19749.01,19765.62,19745.84,19762.41,851.80811,1662358499999,44.54,-32.40,-34.52,2.11,92.15,88.98
1662358500000,19762.41,19768.39,19744.0,19764.36,678.40049,1662358799999,45.06,-28.93,-33.40,4.47,91.01,90.07
1662358800000,19764.36,19769.71,19757.86,19767.78,650.57679,1662359099999,46.00,-25.61,-31.84,6.23,95.20,92.79
1662359100000,19767.03,19768.39,19746.02,19760.04,666.27978,1662359399999,44.15,-23.33,-30.14,6.81,86.70,90.97
1662359400000,19760.04,19767.01,19738.38,19758.42,574.82984,1662359699999,43.76,-21.40,-28.39,6.99,76.77,86.22
1662359700000,19758.42,19767.03,19740.95,19743.28,602.72861,1662359999999,40.13,-20.86,-26.89,6.02,49.63,71.03
1662360000000,19744.02,19749.3,19725.06,19744.96,617.85943,1662360299999,40.72,-20.07,-25.52,5.46,41.39,55.93
1662360300000,19744.96,19782.4,19733.63,19777.68,679.05703,1662360599999,50.83,-16.60,-23.74,7.13,50.66,47.23
1662360600000,19777.68,19802.0,19769.0,19795.01,961.81613,1662360899999,55.19,-12.32,-21.45,9.14,75.75,55.93
1662360900000,19795.01,19796.09,19777.0,19787.2,686.15495,1662361199999,52.91,-9.44,-19.05,9.61,87.82,71.41
1662361200000,19786.75,19797.42,19775.85,19779.55,873.75047,1662361499999,50.70,-7.69,-16.78,9.09,80.83,81.47
1662361500000,19779.55,19780.91,19752.75,19766.58,710.54461,1662361799999,47.12,-7.27,-14.88,7.61,66.59,78.41
1662361800000,19765.63,19768.21,19750.77,19753.65,660.212,1662362099999,43.79,-7.89,-13.48,5.59,41.55,62.99
1662362100000,19753.65,19778.72,19737.0,19771.26,886.66633,1662362399999,49.06,-6.88,-12.16,5.28,36.84,48.33
1662362400000,19771.27,19776.87,19745.26,19752.12,670.56257,1662362699999,44.21,-7.53,-11.23,3.70,29.12,35.83
1662362700000,19752.72,19758.84,19706.41,19731.18,1094.3588,1662362999999,39.59,-9.63,-10.91,1.28,38.33,34.76
1662363000000,19730.0,19743.26,19718.53,19737.81,772.83255,1662363299999,41.67,-10.64,-10.86,0.22,33.90,33.78
1662363300000,19737.81,19744.0,19710.0,19722.71,633.34897,1662363599999,38.43,-12.51,-11.19,-1.32,33.07,35.10
1662363600000,19722.71,19745.0,19710.37,19737.38,597.89964,1662363899999,43.06,-12.66,-11.48,-1.18,36.64,34.54
1662363900000,19736.39,19752.05,19731.89,19743.32,651.16264,1662364199999,44.87,-12.16,-11.62,-0.54,45.63,38.45
1662364200000,19743.32,19748.51,19728.0,19746.66,583.90713,1662364499999,45.91,-11.37,-11.57,0.20,67.18,49.82
1662364500000,19747.81,19758.41,19744.69,19750.0,445.97361,1662364799999,46.99,-10.35,-11.32,0.98,80.07,64.29
1662364800000,19750.51,19758.22,19730.01,19748.74,752.15345,1662365099999,46.61,-9.53,-10.97,1.43,83.23,76.82
1662365100000,19748.0,19758.0,19721.78,19733.78,704.05512,1662365399999,42.27,-9.98,-10.77,0.79,65.09,76.13
1662365400000,19733.78,19742.42,19723.84,19724.83,533.02207,1662365699999,39.88,-10.93,-10.80,-0.13,40.32,62.88
1662365700000,19725.77,19737.42,19722.37,19726.75,468.77618,1662365999999,40.66,-11.39,-10.92,-0.47,18.22,41.21
1662366000000,19727.6,19781.95,19726.32,19759.7,968.54107,1662366299999,52.08,-9.00,-10.54,1.53,28.31,28.95
1662366300000,19759.7,19786.08,19747.1,19785.65,848.15039,1662366599999,58.81,-4.95,-9.42,4.47,58.64,35.05
1662366600000,19785.25,19789.26,19758.92,19767.94,616.18912,1662366899999,53.31,-3.14,-8.16,5.02,76.83,54.59
1662366900000,19767.91,19784.27,19766.25,19780.37,642.95862,1662367199999,56.39,-0.69,-6.67,5.98,84.72,73.40
1662367200000,19780.37,19790.35,19775.0,19779.02,566.04487,1662367499999,55.96,1.13,-5.11,6.24,79.05,80.20
1662367500000,19779.94,19782.97,19766.76,19772.12,451.00538,1662367799999,53.70,1.99,-3.69,5.68,75.62,79.80
1662367800000,19772.12,19792.76,19767.65,19772.0,513.0001,1662368099999,53.65,2.64,-2.42,5.06,59.60,71.42
1662368100000,19771.34,19785.69,19770.95,19781.65,332.98276,1662368399999,56.51,3.88,-1.16,5.04,51.53,62.25
1662368400000,19781.65,19804.5,19769.22,19788.57,1042.43271,1662368699999,58.48,5.36,0.14,5.22,51.51,54.21
1662368700000,19788.57,19793.63,19770.52,19775.06,588.04259,1662368999999,53.39,5.38,1.19,4.19,45.96,49.67
1662369000000,19774.81,19776.18,19750.01,19752.0,622.55418,1662369299999,46.02,3.50,1.65,1.85,27.81,41.76
1662369300000,19752.0,19771.22,19750.3,19765.52,456.21783,1662369599999,50.35,3.06,1.93,1.13,18.04,30.60
1662369600000,19765.56,19766.69,19735.45,19741.72,748.50821,1662369899999,43.70,0.79,1.70,-0.92,13.73,19.86
1662369900000,19742.23,19749.73,19729.0,19748.51,515.88129,1662370199999,45.90,-0.46,1.27,-1.73,22.58,18.12
1662370200000,19749.24,19751.22,19733.26,19743.24,464.49138,1662370499999,44.45,-1.86,0.65,-2.50,23.15,19.82
1662370500000,19743.23,19763.83,19739.37,19761.19,418.2607,1662370799999,50.21,-1.50,0.22,-1.71,45.54,30.42
1662370800000,19761.8,19779.93,19759.59,19765.9,617.3855,1662371099999,51.63,-0.82,0.01,-0.83,59.63,42.77
1662371100000,19764.79,19792.0,19763.26,19787.12,647.22094,1662371399999,57.50,1.41,0.29,1.12,80.32,61.83
